,Car code,Consumption load (KWH) per 100 km,The amount of residual load KWH,KWH energy storage power,Power supply generation capacity (KW),Power supply capacity KW,Ms data recording time,Electricity price per hour KW,Traffic situation,Time to reach power supply ms,Distance traveled Km,Maximum number of cars in a crowd (cars),Charging / discharging frequency,Consumption range per km,Charger standard,Battery Type,
,74840,22,98,120,360,2880,49,413,smooth,34,68,195,1,1,1,Molten salt battery,
,74848,23,217,240,2880,23040,99,344,heavy,14,63,168,1,1,1,Zinc-bromine battery,
,74997,36,264,300,1500,12000,120,537,smooth,27,28,195,2,1,2,Oxidation battery ‌ Vanadium reduction,
,74841,68,136,204,408,3264,55,281,semi-heavy,29,55,267,2,1,3,Nickel-Cadmium battery,
,74637,55,545,600,1200,9600,83,245,smooth,45,29,258,2,1,3,Nickel battery - metal hydride,
,75709,62,238,300,900,7200,36,462,heavy,12,24,161,1,2,2,Nickel-iron battery,
,74697,23,97,120,360,2880,49,499,semi-heavy,50,76,260,1,1,2,Acid battery,
,74613,64,176,240,480,3840,32,258,smooth,54,18,202,2,1,2,On-air battery,
,74398,70,138,208,1248,9984,45,339,semi-heavy,24,34,32,2,1,3,Aluminum battery - air,
,74398,75,45,120,1920,15360,46,427,smooth,59,10,214,2,2,2,Molten salt battery,
,74547,44,256,300,900,7200,53,327,heavy,48,71,186,1,2,1,Zinc-bromine battery,
,74455,64,176,240,1920,15360,80,475,smooth,12,73,179,1,2,2,Oxidation battery ‌ Vanadium reduction,
,74363,45,75,120,1440,11520,119,400,semi-heavy,20,23,52,2,1,2,Nickel-Cadmium battery,
,74051,80,520,600,4800,38400,80,354,smooth,17,19,268,1,2,3,Nickel battery - metal hydride,
,73952,24,184,208,2496,19968,73,500,heavy,48,27,141,2,1,1,Nickel-iron battery,
,73902,51,69,120,840,6720,35,201,smooth,32,67,187,1,2,1,Acid battery,
,73902,25,215,240,3120,24960,85,386,semi-heavy,51,19,126,1,1,3,On-air battery,
,73905,75,45,120,1320,10560,119,530,smooth,37,5,119,2,2,3,Aluminum battery - air,
,73868,63,145,208,624,4992,75,490,smooth,50,32,157,1,1,1,Molten salt battery,
,73529,23,577,600,1200,9600,110,461,heavy,54,56,74,1,2,3,Zinc-bromine battery,
,73499,49,159,208,2704,21632,52,532,smooth,20,80,169,2,1,2,Oxidation battery ‌ Vanadium reduction,
,73540,41,199,240,1680,13440,57,461,semi-heavy,30,66,212,1,1,2,Nickel-Cadmium battery,
,73312,47,553,600,7800,62400,107,363,smooth,18,68,76,1,2,1,Nickel battery - metal hydride,
,72941,35,85,120,1200,9600,103,418,heavy,37,54,104,2,1,3,Nickel-iron battery,
,72778,34,206,240,2160,17280,93,461,semi-heavy,43,33,249,2,2,3,Acid battery,
,72339,49,251,300,2400,19200,116,220,smooth,40,21,128,2,2,2,On-air battery,
,72232,74,130,204,1020,8160,86,334,semi-heavy,52,7,88,2,2,2,Aluminum battery - air,
,72121,41,559,600,6000,48000,69,299,smooth,51,43,203,2,1,3,Molten salt battery,
,71822,73,227,300,1200,9600,41,347,heavy,28,20,147,2,2,3,Zinc-bromine battery,
,71665,49,71,120,840,6720,65,262,smooth,27,26,173,2,2,1,Oxidation battery ‌ Vanadium reduction,
,71815,54,186,240,3360,26880,85,331,semi-heavy,15,19,149,1,2,3,Nickel-Cadmium battery,
,71930,66,142,208,624,4992,75,387,smooth,14,25,130,1,2,1,Nickel battery - metal hydride,
,71925,80,40,120,720,5760,58,430,heavy,37,36,295,1,2,3,Nickel-iron battery,
,71486,23,277,300,4800,38400,51,450,smooth,11,21,69,1,1,1,Acid battery,
,71386,27,213,240,1920,15360,53,253,semi-heavy,45,63,96,2,2,1,On-air battery,
,71402,62,58,120,1560,12480,92,219,smooth,21,40,200,2,1,3,Aluminum battery - air,
,71408,59,541,600,7200,57600,58,502,smooth,43,20,80,1,2,1,Molten salt battery,
,71443,34,174,208,832,6656,118,323,heavy,48,6,294,2,2,2,Zinc-bromine battery,
,71443,61,59,120,1920,15360,109,493,smooth,32,38,145,2,1,2,Oxidation battery ‌ Vanadium reduction,
,71545,24,216,240,3840,30720,72,327,semi-heavy,33,38,24,1,2,1,Nickel-Cadmium battery,
,71685,55,65,120,1080,8640,69,399,smooth,41,5,57,1,1,3,Nickel battery - metal hydride,
,71726,44,164,208,3120,24960,83,242,heavy,29,72,66,1,1,1,Nickel-iron battery,
,71788,68,532,600,4200,33600,90,368,semi-heavy,28,38,260,2,1,1,Acid battery,
,71802,52,156,208,2288,18304,91,465,smooth,39,46,135,1,2,3,On-air battery,
,71643,76,164,240,480,3840,72,403,semi-heavy,42,61,166,1,2,3,Aluminum battery - air,
,71675,59,541,600,6000,48000,36,249,smooth,19,37,122,1,2,1,Molten salt battery,
,71664,21,99,120,1560,12480,43,504,heavy,47,69,256,2,1,2,Zinc-bromine battery,
,71640,69,171,240,2880,23040,55,385,smooth,31,39,255,1,2,3,Oxidation battery ‌ Vanadium reduction,
,71670,36,264,300,1800,14400,35,479,semi-heavy,49,62,294,2,1,2,Nickel-Cadmium battery,
,71672,62,142,204,2448,19584,52,425,smooth,10,6,240,1,1,2,Nickel battery - metal hydride,
,71718,50,550,600,2400,19200,74,265,heavy,31,30,62,2,2,3,Nickel-iron battery,
,71783,45,255,300,4200,33600,73,285,smooth,60,72,295,2,2,1,Acid battery,
,71771,77,43,120,1440,11520,36,538,semi-heavy,51,26,67,1,2,1,On-air battery,
,71781,26,214,240,2400,19200,69,258,smooth,38,67,226,1,2,1,Aluminum battery - air,
,71893,65,143,208,2288,18304,86,358,smooth,55,77,249,2,2,2,Molten salt battery,
,71978,20,100,120,240,1920,83,498,heavy,27,13,63,1,2,3,Zinc-bromine battery,
,72016,73,227,300,900,7200,112,524,smooth,11,22,246,1,2,2,Oxidation battery ‌ Vanadium reduction,
,72281,34,206,240,1200,9600,68,385,semi-heavy,24,23,151,1,1,1,Nickel-Cadmium battery,
,73550,43,77,120,240,1920,99,344,smooth,20,76,130,1,2,2,Nickel battery - metal hydride,
,74109,38,562,600,4800,38400,71,448,heavy,34,31,200,1,2,1,Nickel-iron battery,
,74132,32,176,208,2704,21632,55,242,semi-heavy,46,34,154,1,1,1,Acid battery,
,74152,77,43,120,720,5760,98,361,smooth,21,18,21,2,1,2,On-air battery,
,73940,56,184,240,3840,30720,108,222,semi-heavy,21,25,29,1,2,1,Aluminum battery - air,
,73958,53,67,120,1680,13440,106,264,smooth,45,53,223,2,2,2,Molten salt battery,
,73967,74,134,208,3328,26624,114,307,heavy,32,62,184,2,2,2,Zinc-bromine battery,
,74151,51,549,600,6000,48000,41,276,smooth,26,56,283,2,2,1,Oxidation battery ‌ Vanadium reduction,
,75028,30,178,208,624,4992,68,486,semi-heavy,49,66,278,1,1,3,Nickel-Cadmium battery,
,75368,30,210,240,2160,17280,89,236,smooth,17,68,290,1,1,2,Nickel battery - metal hydride,
,76166,61,539,600,8400,67200,118,256,heavy,32,80,299,2,2,1,Nickel-iron battery,
,76420,59,61,120,1800,14400,59,219,smooth,42,69,194,1,2,2,Acid battery,
,76553,63,177,240,960,7680,55,294,semi-heavy,45,68,271,2,1,1,On-air battery,
,76560,65,235,300,4800,38400,87,416,smooth,26,50,269,2,1,3,Aluminum battery - air,
,76708,78,126,204,1020,8160,120,364,smooth,52,18,161,2,1,3,Molten salt battery,
,76589,64,536,600,5400,43200,39,333,heavy,43,29,205,2,2,3,Zinc-bromine battery,
,75946,52,248,300,1800,14400,84,435,smooth,43,67,52,1,2,3,Oxidation battery ‌ Vanadium reduction,
,75930,67,53,120,720,5760,74,519,semi-heavy,32,11,155,2,1,2,Nickel-Cadmium battery,
,75965,42,198,240,3840,30720,54,208,smooth,38,41,261,2,1,1,Nickel battery - metal hydride,
,75409,30,178,208,832,6656,63,483,heavy,36,19,267,2,2,1,Nickel-iron battery,
,75284,54,66,120,1920,15360,65,256,semi-heavy,55,5,237,2,1,3,Acid battery,
,75042,21,279,300,900,7200,104,508,smooth,54,64,227,2,2,3,On-air battery,
,75389,33,207,240,2880,23040,117,381,semi-heavy,27,31,82,2,2,3,Aluminum battery - air,
,75949,71,49,120,1320,10560,88,532,smooth,26,57,245,2,1,3,Molten salt battery,
,74740,53,547,600,4800,38400,108,204,heavy,43,49,156,1,1,2,Zinc-bromine battery,
,74076,65,143,208,1456,11648,114,544,smooth,15,32,274,2,2,1,Oxidation battery ‌ Vanadium reduction,
,73245,51,69,120,360,2880,118,325,semi-heavy,38,19,166,2,1,1,Nickel-Cadmium battery,
,72189,69,171,240,1920,15360,67,204,smooth,44,18,243,2,1,1,Nickel battery - metal hydride,
,72120,21,99,120,1200,9600,98,542,heavy,29,34,52,1,1,3,Nickel-iron battery,
,72258,23,185,208,2704,21632,86,225,smooth,54,50,200,1,2,1,Acid battery,
,71860,45,555,600,7800,62400,103,372,semi-heavy,50,37,32,1,1,3,On-air battery,
,71712,21,187,208,2288,18304,72,452,smooth,39,29,23,2,1,2,Aluminum battery - air,
,71170,39,201,240,3600,28800,76,229,smooth,16,64,103,2,1,2,Molten salt battery,
,71376,49,551,600,3000,24000,60,388,heavy,26,56,198,2,2,1,Zinc-bromine battery,
,71381,42,78,120,480,3840,117,312,smooth,43,65,178,2,1,2,Oxidation battery ‌ Vanadium reduction,
,71043,68,172,240,2880,23040,55,219,semi-heavy,36,18,90,2,1,1,Nickel-Cadmium battery,
,70293,72,228,300,4500,36000,76,213,smooth,38,58,40,2,2,2,Nickel battery - metal hydride,
,69542,29,175,204,2448,19584,116,510,heavy,31,21,147,1,2,3,Nickel-iron battery,
,69608,45,555,600,4800,38400,67,432,semi-heavy,56,79,136,1,2,2,Acid battery,
,69494,30,270,300,900,7200,35,374,smooth,36,58,220,1,2,2,On-air battery,
,69537,79,41,120,1440,11520,102,426,semi-heavy,16,28,29,1,2,2,Aluminum battery - air,
,70094,74,166,240,720,5760,76,346,smooth,21,40,140,1,2,3,Molten salt battery,
,70153,41,167,208,2496,19968,79,253,heavy,55,75,71,1,1,2,Zinc-bromine battery,
,69705,43,77,120,240,1920,96,470,smooth,20,36,145,2,2,2,Oxidation battery ‌ Vanadium reduction,
,69625,39,261,300,2100,16800,89,283,semi-heavy,46,73,238,2,1,2,Nickel-Cadmium battery,
,69424,78,162,240,2880,23040,86,294,smooth,27,44,238,2,2,2,Nickel battery - metal hydride,
,69254,55,65,120,1320,10560,80,546,heavy,37,22,179,1,2,1,Nickel-iron battery,
,68973,21,579,600,9600,76800,44,227,smooth,54,57,176,1,1,2,Acid battery,
,68829,27,181,208,3120,24960,60,264,semi-heavy,31,40,261,2,2,3,On-air battery,
,68650,73,47,120,1080,8640,86,432,smooth,38,64,78,2,2,1,Aluminum battery - air,
,68232,42,198,240,3600,28800,82,411,smooth,46,8,108,1,1,3,Molten salt battery,
,67741,36,84,120,240,1920,87,493,heavy,60,71,161,1,1,1,Zinc-bromine battery,
,66902,65,143,208,624,4992,75,347,smooth,33,51,162,2,2,1,Oxidation battery ‌ Vanadium reduction,
,66197,26,574,600,9600,76800,92,223,semi-heavy,31,38,24,1,1,1,Nickel-Cadmium battery,
,65512,78,130,208,1872,14976,101,487,smooth,55,79,240,2,2,3,Nickel battery - metal hydride,
,66000,42,198,240,1200,9600,71,458,heavy,32,53,85,2,2,3,Nickel-iron battery,
,65929,22,578,600,9000,72000,92,278,semi-heavy,51,29,66,2,1,1,Acid battery,
,65939,32,88,120,720,5760,112,466,smooth,10,67,38,1,2,3,On-air battery,
,66273,42,198,240,2880,23040,86,412,semi-heavy,53,65,267,2,2,2,Aluminum battery - air,
,66320,74,226,300,600,4800,52,476,smooth,39,69,138,2,1,1,Molten salt battery,
,65835,42,162,204,408,3264,98,348,heavy,53,16,118,2,2,3,Zinc-bromine battery,
,65564,24,576,600,6600,52800,65,324,smooth,52,10,197,2,2,3,Oxidation battery ‌ Vanadium reduction,
,65028,65,235,300,1500,12000,45,286,semi-heavy,16,49,183,1,2,1,Nickel-Cadmium battery,
,65029,51,69,120,1560,12480,82,444,smooth,40,7,33,1,1,3,Nickel battery - metal hydride,
,65105,37,203,240,3600,28800,111,483,heavy,11,45,224,2,2,3,Nickel-iron battery,
,65114,57,151,208,2912,23296,34,318,smooth,40,43,106,2,2,3,Acid battery,
,65127,77,43,120,480,3840,61,502,semi-heavy,19,49,41,1,2,1,On-air battery,
,65256,44,256,300,3600,28800,89,402,smooth,18,10,157,1,1,1,Aluminum battery - air,
,65542,25,215,240,1200,9600,91,473,smooth,10,32,171,2,1,1,Molten salt battery,
,65544,52,68,120,960,7680,89,368,heavy,51,33,42,1,2,3,Zinc-bromine battery,
,65555,76,524,600,8400,67200,91,337,smooth,19,36,199,2,2,1,Oxidation battery ‌ Vanadium reduction,
,65597,44,164,208,832,6656,69,262,semi-heavy,37,17,221,2,1,2,Nickel-Cadmium battery,
,65771,50,70,120,1800,14400,39,460,smooth,35,58,257,1,1,3,Nickel battery - metal hydride,
,65787,43,197,240,720,5760,39,284,heavy,49,52,23,1,1,2,Nickel-iron battery,
,65366,25,95,120,360,2880,113,213,semi-heavy,46,31,208,2,2,3,Acid battery,
,64917,45,163,208,2496,19968,85,305,smooth,27,57,99,2,2,3,On-air battery,
,64840,24,576,600,9600,76800,53,302,semi-heavy,58,57,97,2,1,3,Aluminum battery - air,
,64932,51,157,208,2288,18304,118,301,smooth,14,57,144,1,1,3,Molten salt battery,
,64926,73,167,240,3120,24960,40,548,heavy,55,51,192,2,1,1,Zinc-bromine battery,
,64993,60,540,600,9600,76800,69,280,smooth,14,36,100,2,2,3,Oxidation battery ‌ Vanadium reduction,
,64811,34,86,120,360,2880,84,515,semi-heavy,27,65,35,1,2,2,Nickel-Cadmium battery,
,64720,62,178,240,480,3840,37,346,smooth,10,68,251,1,2,3,Nickel battery - metal hydride,
,64867,72,228,300,3000,24000,50,531,heavy,31,29,144,1,1,2,Nickel-iron battery,
,64719,64,140,204,1020,8160,33,299,smooth,32,14,206,1,1,1,Acid battery,
,64678,26,574,600,3000,24000,97,314,semi-heavy,13,41,78,1,2,2,On-air battery,
,64525,60,240,300,2100,16800,104,502,smooth,28,64,116,1,1,2,Aluminum battery - air,
,64051,64,56,120,840,6720,71,270,smooth,18,63,153,2,1,1,Molten salt battery,
,63950,52,188,240,2400,19200,58,410,heavy,31,12,107,2,2,1,Zinc-bromine battery,
,63860,49,159,208,416,3328,40,257,smooth,40,31,113,1,2,2,Oxidation battery ‌ Vanadium reduction,
,63954,51,69,120,1320,10560,84,204,semi-heavy,32,45,164,1,1,1,Nickel-Cadmium battery,
,63996,29,271,300,3300,26400,92,265,smooth,34,12,81,1,2,3,Nickel battery - metal hydride,
,64014,42,198,240,960,7680,101,358,heavy,26,13,209,2,1,2,Nickel-iron battery,
,63911,59,61,120,600,4800,107,287,semi-heavy,57,62,97,1,2,2,Acid battery,
,63806,57,543,600,9600,76800,56,291,smooth,47,6,260,2,2,2,On-air battery,
,63846,28,180,208,1872,14976,41,497,semi-heavy,13,67,241,2,2,2,Aluminum battery - air,
,63859,25,95,120,1680,13440,89,202,smooth,34,17,50,1,2,3,Molten salt battery,
,64070,69,171,240,720,5760,30,344,heavy,14,22,290,1,2,2,Zinc-bromine battery,
,64610,39,81,120,1200,9600,103,286,smooth,53,56,289,1,1,1,Oxidation battery ‌ Vanadium reduction,
,64980,72,136,208,2704,21632,117,517,semi-heavy,49,16,206,2,1,2,Nickel-Cadmium battery,
,65122,41,559,600,1200,9600,114,458,smooth,50,74,132,2,1,1,Nickel battery - metal hydride,
,61532,21,187,208,2912,23296,92,479,heavy,12,35,57,2,1,3,Nickel-iron battery,
,62531,21,219,240,2880,23040,45,485,smooth,55,51,284,2,2,3,Acid battery,
,62885,78,522,600,1800,14400,91,524,semi-heavy,24,78,142,2,2,1,On-air battery,
,63625,23,97,120,720,5760,88,264,smooth,41,41,75,2,1,3,Aluminum battery - air,
,65099,62,178,240,2400,19200,61,496,smooth,42,76,76,2,2,1,Molten salt battery,
,65175,71,229,300,1500,12000,73,417,heavy,36,40,274,2,2,1,Zinc-bromine battery,
,65728,53,151,204,3060,24480,78,246,smooth,29,50,79,1,2,2,Oxidation battery ‌ Vanadium reduction,
,67827,53,547,600,1200,9600,77,254,semi-heavy,37,70,28,2,1,1,Nickel-Cadmium battery,
,70261,32,268,300,4500,36000,52,481,smooth,55,41,114,2,2,3,Nickel battery - metal hydride,
,70843,51,69,120,240,1920,71,376,heavy,47,36,141,2,2,2,Nickel-iron battery,
,70159,53,187,240,2160,17280,35,416,semi-heavy,18,65,156,2,2,3,Acid battery,
,70684,62,146,208,1664,13312,38,519,smooth,20,17,137,1,1,3,On-air battery,
,70022,80,40,120,360,2880,93,225,semi-heavy,45,78,48,2,2,2,Aluminum battery - air,
,68783,53,247,300,1500,12000,120,399,smooth,12,52,168,2,2,2,Molten salt battery,
,68454,51,189,240,480,3840,108,243,heavy,55,75,240,1,1,3,Zinc-bromine battery,
,68465,64,56,120,1080,8640,43,343,smooth,45,47,46,1,2,2,Oxidation battery ‌ Vanadium reduction,
,68078,74,526,600,8400,67200,63,260,semi-heavy,50,26,121,2,2,2,Nickel-Cadmium battery,
,67374,42,166,208,2288,18304,64,433,smooth,40,35,186,2,2,3,Nickel battery - metal hydride,
,67378,61,59,120,1440,11520,72,384,heavy,53,14,298,2,1,3,Nickel-iron battery,
,67016,42,198,240,3120,24960,110,247,smooth,14,46,245,2,1,3,Acid battery,
,66569,25,95,120,480,3840,85,425,semi-heavy,12,76,85,2,1,1,On-air battery,
,66540,21,187,208,1248,9984,66,432,smooth,49,61,126,1,2,2,Aluminum battery - air,
,66208,69,531,600,4200,33600,58,543,smooth,29,31,85,1,1,3,Molten salt battery,
,65576,31,177,208,2912,23296,58,444,heavy,50,51,288,1,1,3,Zinc-bromine battery,
,65508,35,205,240,3600,28800,96,227,smooth,35,77,148,1,2,2,Oxidation battery ‌ Vanadium reduction,
,65634,59,541,600,2400,19200,69,338,semi-heavy,57,16,246,2,1,1,Nickel-Cadmium battery,
,65088,48,72,120,720,5760,84,447,smooth,52,51,292,2,2,2,Nickel battery - metal hydride,
,64415,34,206,240,2880,23040,69,280,heavy,21,80,56,1,1,2,Nickel-iron battery,
,64168,25,275,300,4200,33600,91,279,semi-heavy,19,11,248,1,1,2,Acid battery,
,64069,35,169,204,2040,16320,70,282,smooth,28,37,137,2,1,3,On-air battery,
,63530,71,529,600,9600,76800,76,302,semi-heavy,47,65,189,1,1,1,Aluminum battery - air,
,62885,69,231,300,900,7200,48,303,smooth,55,16,36,2,1,1,Molten salt battery,
,63069,26,94,120,480,3840,80,329,heavy,58,32,125,2,2,1,Zinc-bromine battery,
,63316,70,170,240,2400,19200,111,264,smooth,57,17,49,2,1,3,Oxidation battery ‌ Vanadium reduction,
,63531,50,158,208,2080,16640,106,518,semi-heavy,44,31,192,2,1,3,Nickel-Cadmium battery,
,63465,38,82,120,360,2880,66,468,smooth,54,62,261,2,1,3,Nickel battery - metal hydride,
,63522,70,230,300,1200,9600,38,531,heavy,12,70,208,2,1,3,Nickel-iron battery,
,63644,78,162,240,960,7680,67,361,smooth,55,25,178,2,1,3,Acid battery,
,63703,63,57,120,1320,10560,114,548,semi-heavy,43,12,296,2,1,2,On-air battery,
,63427,61,539,600,9600,76800,88,399,smooth,40,9,179,2,1,2,Aluminum battery - air,
,63363,43,165,208,1248,9984,68,507,smooth,44,73,128,2,2,3,Molten salt battery,
,63496,29,91,120,1320,10560,69,233,heavy,53,12,280,2,2,1,Zinc-bromine battery,
,63419,29,211,240,480,3840,95,344,smooth,48,73,111,1,2,3,Oxidation battery ‌ Vanadium reduction,
,63402,51,69,120,480,3840,110,498,semi-heavy,55,6,229,2,1,1,Nickel-Cadmium battery,
,63419,48,160,208,624,4992,67,366,smooth,44,41,182,2,1,2,Nickel battery - metal hydride,
,63227,44,556,600,1200,9600,73,538,heavy,24,72,102,2,2,3,Nickel-iron battery,
,63227,80,128,208,3328,26624,34,457,semi-heavy,15,54,52,1,1,2,Acid battery,
,63289,74,166,240,1440,11520,40,354,smooth,53,46,120,1,2,2,On-air battery,
,63297,48,552,600,8400,67200,73,385,semi-heavy,54,42,65,1,1,3,Aluminum battery - air,
,63187,38,82,120,840,6720,77,455,smooth,57,80,22,1,1,2,Molten salt battery,
,62952,78,162,240,1680,13440,74,202,heavy,55,61,211,2,1,2,Zinc-bromine battery,
,62317,72,228,300,3000,24000,73,520,smooth,32,76,276,2,1,3,Oxidation battery ‌ Vanadium reduction,
,62322,64,140,204,3060,24480,79,460,semi-heavy,57,25,71,2,2,3,Nickel-Cadmium battery,
,62571,68,532,600,8400,67200,68,484,smooth,53,11,137,1,1,1,Nickel battery - metal hydride,
,62653,41,259,300,1500,12000,32,419,heavy,57,77,291,1,2,2,Nickel-iron battery,
,62552,44,76,120,1200,9600,81,520,smooth,23,41,57,2,2,2,Acid battery,
,62558,79,161,240,3360,26880,51,346,semi-heavy,11,35,88,1,1,1,On-air battery,
,63559,77,131,208,1040,8320,64,399,smooth,19,26,160,1,2,1,Aluminum battery - air,
,63836,43,77,120,1200,9600,69,320,smooth,11,71,220,2,2,3,Molten salt battery,
,63810,52,248,300,3300,26400,98,267,heavy,14,78,233,1,1,2,Zinc-bromine battery,
,64276,44,196,240,3600,28800,42,472,smooth,44,32,174,1,1,1,Oxidation battery ‌ Vanadium reduction,
,64839,23,97,120,1080,8640,35,417,semi-heavy,33,43,249,1,2,1,Nickel-Cadmium battery,
,64857,31,569,600,3000,24000,71,494,smooth,46,40,223,1,1,2,Nickel battery - metal hydride,
,64812,21,187,208,1040,8320,69,301,heavy,60,64,20,1,2,3,Nickel-iron battery,
,64301,74,46,120,1440,11520,55,279,semi-heavy,25,63,30,2,2,3,Acid battery,
,64332,28,212,240,960,7680,119,298,smooth,42,68,139,1,2,3,On-air battery,
,64922,44,76,120,1920,15360,108,368,semi-heavy,59,17,97,2,2,3,Aluminum battery - air,
,64861,44,164,208,1456,11648,120,216,smooth,34,46,178,2,2,1,Molten salt battery,
,65860,20,580,600,5400,43200,52,391,heavy,45,73,77,2,1,3,Zinc-bromine battery,
,65780,76,132,208,2288,18304,32,286,smooth,51,54,182,2,2,1,Oxidation battery ‌ Vanadium reduction,
,66019,38,202,240,2400,19200,117,440,semi-heavy,23,18,119,1,1,1,Nickel-Cadmium battery,
,66761,27,573,600,1200,9600,42,523,smooth,34,59,117,2,2,3,Nickel battery - metal hydride,
,66817,58,62,120,1440,11520,106,512,heavy,38,7,260,1,2,3,Nickel-iron battery,
,67646,72,168,240,1680,13440,98,412,smooth,30,75,40,2,1,3,Acid battery,
,69194,32,268,300,3600,28800,38,407,semi-heavy,10,44,21,1,1,2,On-air battery,
,69433,40,164,204,2856,22848,50,307,smooth,15,77,166,2,1,1,Aluminum battery - air,
,68827,78,522,600,3000,24000,68,273,smooth,20,53,123,2,1,2,Molten salt battery,
,68827,64,236,300,1800,14400,59,323,heavy,35,56,291,1,1,3,Zinc-bromine battery,
,68148,74,46,120,960,7680,39,270,smooth,60,56,92,2,2,3,Oxidation battery ‌ Vanadium reduction,
,68050,26,214,240,2400,19200,53,429,semi-heavy,54,19,225,2,2,1,Nickel-Cadmium battery,
,67643,71,137,208,416,3328,43,291,smooth,36,46,77,1,1,3,Nickel battery - metal hydride,
,67036,58,62,120,1680,13440,41,389,heavy,32,76,249,1,1,3,Nickel-iron battery,
,66977,35,265,300,2700,21600,77,529,semi-heavy,50,31,119,1,1,1,Acid battery,
,66441,41,199,240,720,5760,115,395,smooth,35,74,279,2,2,1,On-air battery,
,66489,78,42,120,1080,8640,72,393,semi-heavy,38,37,203,2,1,3,Aluminum battery - air,
,66780,46,554,600,6600,52800,63,207,smooth,26,56,60,1,2,2,Molten salt battery,
,66829,43,165,208,2496,19968,68,547,heavy,15,32,269,2,2,2,Zinc-bromine battery,
,66530,29,91,120,1920,15360,65,389,smooth,13,12,54,1,1,2,Oxidation battery ‌ Vanadium reduction,
,66626,63,177,240,2640,21120,112,306,semi-heavy,45,13,217,1,1,1,Nickel-Cadmium battery,
,66445,50,70,120,360,2880,65,237,smooth,24,46,299,1,2,3,Nickel battery - metal hydride,
,66451,66,142,208,1872,14976,48,402,heavy,60,42,214,2,2,1,Nickel-iron battery,
,66000,43,557,600,4200,33600,116,288,smooth,43,67,222,1,2,3,Acid battery,
,65973,79,129,208,1248,9984,75,373,semi-heavy,14,67,66,2,2,2,On-air battery,
,65903,57,183,240,3120,24960,88,536,smooth,32,24,183,1,1,1,Aluminum battery - air,
,65703,40,560,600,4800,38400,76,255,smooth,35,74,70,1,2,2,Molten salt battery,
,65314,67,53,120,360,2880,64,311,heavy,53,65,218,2,1,2,Zinc-bromine battery,
,65239,30,210,240,1440,11520,84,214,smooth,26,24,138,2,1,2,Oxidation battery ‌ Vanadium reduction,
,65302,64,236,300,1500,12000,50,447,semi-heavy,22,14,76,2,1,2,Nickel-Cadmium battery,
,65189,28,176,204,1632,13056,66,367,smooth,49,23,171,2,1,1,Nickel battery - metal hydride,
,65218,25,575,600,1200,9600,78,459,heavy,23,12,84,1,2,1,Nickel-iron battery,
,65225,28,272,300,4200,33600,101,436,semi-heavy,33,67,112,1,2,1,Acid battery,
,64881,50,70,120,1440,11520,31,466,smooth,34,43,161,1,1,1,On-air battery,
,64651,53,187,240,2400,19200,96,262,semi-heavy,47,48,118,2,1,2,Aluminum battery - air,
,64197,39,169,208,1872,14976,92,340,smooth,48,46,116,1,2,1,Molten salt battery,
,64206,61,59,120,480,3840,119,414,heavy,28,42,166,1,2,3,Zinc-bromine battery,
,64451,24,276,300,2100,16800,43,487,smooth,12,12,47,2,2,1,Oxidation battery ‌ Vanadium reduction,
,64467,51,189,240,3840,30720,52,376,semi-heavy,41,30,202,2,1,2,Nickel-Cadmium battery,
,64225,57,63,120,1920,15360,103,335,smooth,55,47,246,2,2,1,Nickel battery - metal hydride,
,64251,30,570,600,9000,72000,86,451,heavy,25,72,254,1,2,3,Nickel-iron battery,
,64276,63,145,208,1248,9984,38,339,smooth,25,50,254,1,2,1,Acid battery,
,64497,26,94,120,720,5760,55,251,semi-heavy,53,52,269,1,1,2,On-air battery,
,64506,28,212,240,1920,15360,120,441,smooth,21,32,108,2,1,1,Aluminum battery - air,
,64518,63,57,120,1800,14400,110,222,smooth,53,48,282,1,2,2,Molten salt battery,
,64511,77,131,208,624,4992,53,288,heavy,50,78,162,1,2,2,Zinc-bromine battery,
,63467,35,565,600,2400,19200,34,201,smooth,25,54,95,1,1,2,Oxidation battery ‌ Vanadium reduction,
,63482,22,186,208,1040,8320,34,394,semi-heavy,44,39,273,1,2,1,Nickel-Cadmium battery,
,62958,33,207,240,3840,30720,46,284,smooth,37,16,130,2,2,2,Nickel battery - metal hydride,
,62993,72,528,600,6600,52800,53,446,heavy,14,78,128,1,2,1,Nickel-iron battery,
,62536,25,95,120,600,4800,78,253,semi-heavy,20,56,281,2,2,2,Acid battery,
,62264,34,206,240,2400,19200,112,510,smooth,16,18,172,2,2,3,On-air battery,
,62254,30,270,300,3000,24000,57,205,semi-heavy,56,54,195,1,2,2,Aluminum battery - air,
,61553,65,139,204,816,6528,73,247,smooth,16,50,186,1,2,3,Molten salt battery,
,61328,54,546,600,8400,67200,33,528,heavy,36,66,232,1,1,1,Zinc-bromine battery,
,61576,62,238,300,3600,28800,74,389,smooth,21,6,59,1,2,3,Oxidation battery ‌ Vanadium reduction,
,61686,73,47,120,960,7680,81,252,semi-heavy,52,6,295,2,2,2,Nickel-Cadmium battery,
,61530,30,210,240,1440,11520,47,383,smooth,11,10,249,1,1,1,Nickel battery - metal hydride,
,61568,66,142,208,1456,11648,120,367,heavy,18,44,198,1,2,1,Nickel-iron battery,
,61578,27,93,120,960,7680,76,450,smooth,44,11,179,1,1,2,Acid battery,
